from,to,datetime_stamp,call_duration,status,source_department,destination_department,call_type,rate_per_min,cost
412,450,2026-04-15 16:02:19,858,pickedup,Finance,Transport,Internal,0.5,7.15
401,339,2026-04-11 14:20:53,1288,pickedup,Marketing,Marketing,Internal,0.5,10.73
476,335,2026-03-07 06:25:23,46,pickedup,Marketing,Manufacturing,Internal,0.5,0.38
455,437,2026-03-25 04:33:04,0,notpickedup,IT,Finance,Internal,0.5,0.0
400,316,2026-07-16 00:39:48,0,notpickedup,Marketing,Manufacturing,Internal,0.5,0.0
318,307,2026-01-18 14:03:19,590,pickedup,Transport,Transport,Internal,0.5,4.92
314,354,2026-01-10 07:21:20,0,notpickedup,Marketing,Marketing,Internal,0.5,0.0
343,374,2026-08-09 10:19:37,0,notpickedup,Manufacturing,Finance,Internal,0.5,0.0
320,384,2026-03-13 13:54:13,588,pickedup,Manufacturing,IT,Internal,0.5,4.9
443,358,2026-06-21 13:45:13,1244,pickedup,Marketing,IT,Internal,0.5,10.37
353,363,2026-02-06 00:11:07,664,pickedup,Finance,Transport,Internal,0.5,5.53
340,392,2026-03-28 23:53:07,143,pickedup,IT,Transport,Internal,0.5,1.19
473,408,2026-07-25 09:26:50,377,pickedup,Marketing,IT,Internal,0.5,3.14
472,421,2026-02-22 08:18:29,723,pickedup,Transport,Finance,Internal,0.5,6.03
424,423,2026-05-10 19:42:46,0,engaged,IT,Manufacturing,Internal,0.5,0.0
328,327,2026-01-16 10:03:02,0,notpickedup,Transport,Transport,Internal,0.5,0.0
326,356,2026-02-06 02:49:16,0,notpickedup,Finance,IT,Internal,0.5,0.0
400,347,2026-03-07 11:29:47,491,pickedup,Marketing,Finance,Internal,0.5,4.09
422,471,2026-04-22 08:42:45,0,engaged,Transport,IT,Internal,0.5,0.0
332,412,2026-02-13 20:46:12,321,pickedup,Marketing,Finance,Internal,0.5,2.67
472,335,2026-07-31 23:35:03,1617,pickedup,Transport,Manufacturing,Internal,0.5,13.47
402,456,2026-04-06 01:28:15,608,pickedup,IT,Finance,Internal,0.5,5.07
303,427,2026-03-07 19:16:56,261,pickedup,Marketing,Manufacturing,Internal,0.5,2.17
394,347,2026-08-07 05:47:32,0,notpickedup,Manufacturing,Finance,Internal,0.5,0.0
439,331,2026-06-10 04:36:03,373,pickedup,IT,Marketing,Internal,0.5,3.11
353,431,2026-01-20 01:54:12,1534,pickedup,Finance,Manufacturing,Internal,0.5,12.78
314,476,2026-02-04 19:55:39,1645,pickedup,Marketing,Marketing,Internal,0.5,13.71
400,408,2026-04-17 00:44:03,662,pickedup,Marketing,IT,Internal,0.5,5.52
313,396,2026-06-04 01:23:39,848,pickedup,Finance,Marketing,Internal,0.5,7.07
371,430,2026-05-25 05:43:05,0,engaged,IT,IT,Internal,0.5,0.0
426,360,2026-04-01 21:43:24,1046,pickedup,Marketing,IT,Internal,0.5,8.72
500,407,2026-05-20 09:22:46,0,notpickedup,Finance,Transport,Internal,0.5,0.0
362,377,2026-08-09 17:42:34,496,pickedup,Transport,Marketing,Internal,0.5,4.13
481,353,2026-07-26 08:10:34,1419,pickedup,IT,Finance,Internal,0.5,11.82
302,354,2026-02-04 06:03:02,733,pickedup,IT,Marketing,Internal,0.5,6.11
473,388,2026-07-08 22:10:55,506,pickedup,Marketing,Transport,Internal,0.5,4.22
389,313,2026-07-02 23:35:40,1273,pickedup,IT,Finance,Internal,0.5,10.61
326,304,2026-03-03 17:21:41,1785,pickedup,Finance,IT,Internal,0.5,14.88
380,495,2026-07-05 09:48:18,1385,pickedup,Transport,Marketing,Internal,0.5,11.54
327,319,2026-01-21 22:43:21,1004,pickedup,Transport,IT,Internal,0.5,8.37
303,443,2026-01-31 12:32:24,0,notpickedup,Marketing,Marketing,Internal,0.5,0.0
380,354,2026-07-20 15:13:03,1589,pickedup,Transport,Marketing,Internal,0.5,13.24
422,326,2026-02-27 05:41:47,35,pickedup,Transport,Finance,Internal,0.5,0.29
407,350,2026-08-06 00:01:46,1415,pickedup,Transport,Transport,Internal,0.5,11.79
392,471,2026-05-06 04:13:21,837,pickedup,Transport,IT,Internal,0.5,6.97
388,389,2026-05-27 11:24:47,0,engaged,Transport,IT,Internal,0.5,0.0
319,326,2026-01-09 21:09:30,765,pickedup,IT,Finance,Internal,0.5,6.38
379,431,2026-03-23 18:50:43,1758,pickedup,Marketing,Manufacturing,Internal,0.5,14.65
412,342,2026-05-01 21:38:32,1355,pickedup,Finance,Finance,Internal,0.5,11.29
389,416,2026-02-13 13:03:18,0,notpickedup,IT,Finance,Internal,0.5,0.0
360,326,2026-05-08 08:58:13,395,pickedup,IT,Finance,Internal,0.5,3.29
368,430,2026-05-24 01:33:12,1310,pickedup,IT,IT,Internal,0.5,10.92
318,304,2026-05-23 05:52:20,1768,pickedup,Transport,IT,Internal,0.5,14.73
394,342,2026-06-19 23:15:40,0,notpickedup,Manufacturing,Finance,Internal,0.5,0.0
348,421,2026-02-02 01:32:18,0,engaged,Manufacturing,Finance,Internal,0.5,0.0
374,360,2026-04-21 14:40:26,1593,pickedup,Finance,IT,Internal,0.5,13.28
313,495,2026-03-17 09:15:46,1779,pickedup,Finance,Marketing,Internal,0.5,14.82
447,489,2026-03-16 16:05:44,991,pickedup,Finance,Finance,Internal,0.5,8.26
343,496,2026-06-17 13:54:42,1207,pickedup,Manufacturing,Transport,Internal,0.5,10.06
